ID,Statistical weight (single-year data files),Age of youngest household child < 18,Age,Sex,Educational attainment,Race,Hispanic origin,Metropolitan status,Labor force status,Multiple job status,Full time or part time status,School Enrollment,School Level,Presence of spouse,Spouse¡¯s employment status,Weekly earnings,Number of children < 18 living in the household,Spouse¡¯s full time or part time employment status,Usual weekly hours of work (total),Day of week,Holiday
2.01706E+13,6374422,1,38,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Yes,College or university,No spouse or unmarried partner present,Blank,42000,4,Blank,40,Sunday,Diary day was not a holiday
2.01706E+13,6608961,-1,60,Male,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Unmarried partner present,Employed,-1,0,Part time,40,Sunday,Diary day was not a holiday
2.01706E+13,3065009,9,29,Male,Some college but no degree,1,Non-Hispanic,Non-metropolitan,Employed - at work,No,Full time,No,Blank,No spouse or unmarried partner present,Blank,164500,1,Blank,55,Sunday,Diary day was not a holiday
2.01706E+13,2.28E+07,-1,26,Female,High school graduate - diploma or equivalent (GED),1,Hispanic,Metropolitan,Employed - at work,No,Part time,No,Blank,No spouse or unmarried partner present,Blank,40000,0,Blank,32,Tuesday,Diary day was not a holiday
2.01706E+13,5684153,-1,64,Male,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Non-metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Not employed,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01706E+13,4173380,-1,70,Male,"Bachelor's degree (BA, AB, BS, etc.)",2,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Monday,Diary day was not a holiday
2.01706E+13,1687796,-1,67,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01706E+13,4645351,-1,80,Male,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Not employed,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01706E+13,6868890,-1,53,Female,High school graduate - diploma or equivalent (GED),2,Non-Hispanic,Non-metropolitan,Employed - at work,No,Full time,Blank,Blank,No spouse or unmarried partner present,Blank,29650,0,Blank,35,Thursday,Diary day was not a holiday
2.01706E+13,4099960,-1,67,Male,9th grade,1,Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Friday,Diary day was not a holiday
2.01706E+13,5466407,-1,58,Female,Associate degree - academic program,1,Non-Hispanic,Metropolitan,Employed - at work,Yes,Part time,Blank,Blank,No spouse or unmarried partner present,Blank,48000,0,Blank,32,Monday,Diary day was not a holiday
2.01706E+13,4396709,-1,68,Female,Some college but no degree,1,Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Employed,-1,0,Part time,-1,Sunday,Diary day was not a holiday
2.01706E+13,1.36E+07,-1,80,Female,Associate degree - academic program,1,Non-Hispanic,Non-metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Not employed,-1,0,Blank,-1,Friday,Diary day was not a holiday
2.01706E+13,8646703,14,51,Male,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,Yes,Full time,Blank,Blank,Spouse present,Employed,288461,1,Full time,43,Sunday,Diary day was not a holiday
2.01706E+13,1.62E+07,-1,19,Female,Some college but no degree,4,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,No,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Sunday,Diary day was not a holiday
