tuyear,age,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50,ttotal
2016,45 to 54,552.31659,118.29125,23.94282,6.798563,266.53769,4.4289713,22.403484,5.8240814,1.1706595,.49897188,60.220367,247.03139,16.601948,10.34486,7.5512624,5.6996646,80.260933,10.076472,1440
2017,45 to 54,558.26544,117.49335,21.787357,7.6122999,272.96451,2.4661412,20.108118,4.6082835,1.2233285,.25166625,61.957928,246.36853,15.002774,8.2988663,9.5508232,4.5336285,78.683098,8.8238535,1439.9998
2003,55 to 64,549.14117,137.3896,6.9256811,18.280388,204.43983,1.391557,25.257998,7.2581353,2.5939817,.24601866,72.206711,289.35956,16.771685,10.595396,8.5084896,7.0678654,74.063858,8.5021029,1439.9999
2004,55 to 64,546.74097,133.46844,8.0749683,18.17716,199.74362,2.6479299,27.316031,5.3515682,1.2955315,.47943375,73.550529,303.84906,15.775739,7.7829299,9.4623222,6.4396486,72.180641,7.6634979,1440.0001
2005,55 to 64,547.27979,136.42673,6.9879665,16.560133,204.13063,3.19947,24.470251,5.3310499,2.1561573,.11252698,76.183189,296.15604,15.53993,8.971303,7.1360841,7.0806761,72.525902,9.752162,1440
2006,55 to 64,551.07196,128.82562,7.6574383,12.716367,211.08684,2.1992548,24.545681,7.0180345,.90387237,1.7710153,71.543396,295.91751,14.765666,9.069478,9.8564157,6.1658354,73.666588,11.219031,1440
2007,55 to 64,541.30396,144.60542,7.5416288,14.598677,202.28889,1.7105173,29.426331,6.8885503,.72778517,.56751353,71.619545,289.50659,17.060341,10.684935,12.696912,6.2061543,72.704903,9.8613482,1440
2008,55 to 64,541.74188,128.36229,9.6419983,19.0334,196.51254,1.4465181,25.029766,7.0904622,.55808336,.27649719,71.861839,313.01831,14.81917,10.137688,11.259585,7.0797229,70.134148,11.996072,1440.0001
2009,55 to 64,554.37598,132.39696,5.7112823,12.441519,204.71156,1.6968687,26.239815,6.0493188,1.5353737,.45980522,71.402542,300.72058,15.147603,10.600731,9.4638233,6.6969705,67.569656,12.779626,1440.0001
2010,55 to 64,561.66064,127.27405,5.6050525,11.698381,211.77211,3.1927257,24.447342,5.490696,1.5241748,.37683266,70.879471,285.2738,16.447758,10.788903,9.645834,6.1922007,71.840073,15.889968,1440.0002
2011,55 to 64,556.94531,124.74295,6.5608125,12.485892,211.92004,1.64114,22.450224,3.4305243,.98866874,.13520201,70.225845,303.67792,16.311474,9.8577328,8.4908562,6.2540569,70.311417,13.569952,1439.9999
2012,55 to 64,555.08472,125.75761,6.4724307,11.861184,204.58638,1.8780924,23.295544,7.6164303,.82132727,.45892563,71.005493,308.35944,14.804561,11.756251,8.2864227,5.7894144,72.496056,9.6697159,1440
2013,55 to 64,557.79926,128.48595,8.4847469,11.281924,201.56699,.71469915,23.184277,4.9159479,.92319483,.22655782,69.45491,312.50797,17.35853,8.8332586,7.0277691,6.1483974,67.003029,14.082608,1440.0001
2014,55 to 64,555.04468,122.29199,8.0227489,11.295938,222.99995,2.0349643,22.579485,6.6554947,.80395365,.48438987,66.781334,301.694,15.405794,10.125682,10.114447,5.3049517,66.766182,11.593976,1440.0001
2015,55 to 64,561.04999,131.68788,5.0954885,12.886312,201.30875,2.4332528,22.704197,4.9318213,.81299168,.15769185,65.286873,304.28232,17.537626,10.587232,11.074914,6.3638086,70.899246,10.899601,1440
2016,55 to 64,559.99518,123.69862,6.1301327,15.822736,205.91614,1.9619864,22.823385,7.3107219,1.2839273,.23494895,65.65847,301.12616,20.768911,13.166791,8.498373,6.9237156,69.902908,8.776886,1440
2017,55 to 64,557.11456,128.23505,8.9777899,13.566662,216.36719,.94623846,21.37533,5.4970794,.85175151,.60585541,64.255341,300.42859,14.847398,9.8780766,9.8002253,6.0929098,70.500778,10.659199,1439.9998
2003,over 65,579.35352,157.70271,6.4558616,13.672709,41.63686,.78140986,24.034456,9.21562,2.4541688,.37462425,83.367851,405.24911,13.952199,12.054824,10.947108,9.4817305,54.72876,14.536479,1440
2004,over 65,579.35895,155.2166,5.6508098,11.876851,37.983807,1.7330248,23.799864,9.2090225,1.8574164,.22753964,82.908478,414.64923,14.73556,12.255654,11.509464,7.9404249,55.551445,13.535856,1440.0001
2005,over 65,588.22961,147.6442,3.9901769,11.417462,37.271122,2.4123979,26.409807,7.6208086,1.0738485,.4936803,80.423172,412.12784,14.424672,11.12589,12.620181,8.7922974,58.683041,15.239787,1439.9999
2006,over 65,584.94824,152.74016,6.7759066,12.04445,36.578075,2.7935724,22.827303,8.4570274,2.9652853,.41242126,80.878487,415.0015,14.21155,10.843367,9.8576813,10.263637,52.125473,16.275915,1440
2007,over 65,578.66089,150.3893,4.950079,10.473629,46.924767,1.3475493,23.73855,8.0599318,1.4643502,.25050035,81.19297,407.67847,16.847153,15.179505,13.223279,8.5060253,55.100735,16.012371,1439.9999
2008,over 65,584.68036,142.59494,3.7854335,10.560578,46.080399,1.1552055,22.586645,8.6088476,1.6001318,.6241259,82.344688,413.17126,15.590952,15.18154,13.546604,9.5226908,53.311916,15.053664,1440.0001
2009,over 65,585.28003,155.64684,3.522336,9.3943386,45.039906,.90148455,21.986055,7.9122386,1.1562508,.28054604,81.012436,405.8168,16.377577,14.327438,12.918635,8.6866093,51.494473,18.246035,1440.0001
2010,over 65,592.13898,145.82111,3.590205,9.9719648,40.944874,.93349832,23.435768,8.4178123,1.3744438,.29987955,81.545242,406.02026,17.018297,13.817659,14.826974,8.1155739,50.497757,21.229683,1440.0001
2011,over 65,591.65881,147.85324,2.9079297,8.725317,51.381882,.4364835,25.387482,7.6838336,1.111533,.32169011,80.810402,401.89236,14.012155,14.594157,13.89612,7.3239813,54.189278,15.813338,1440.0001
2012,over 65,576.41284,153.60304,5.6505132,8.9793415,50.780369,.56682557,22.879591,7.0160866,1.2103866,.24965635,80.309677,409.94635,18.866346,14.439552,12.054482,7.5599971,53.155827,16.319138,1440
2013,over 65,581.29028,145.71259,4.3629565,12.020252,46.013554,1.0430456,22.619335,8.8303957,1.1928056,.52201092,78.392311,409.98401,14.343158,15.114229,15.579057,8.6251326,54.708302,19.646551,1440.0001
2014,over 65,586.03284,143.53287,5.8686595,9.7412014,50.308586,.44111061,22.551554,10.382982,.8765893,.52273995,77.037445,418.24557,14.174389,14.328604,11.492442,7.0291853,50.861404,16.571827,1440.0001
2015,over 65,588.9422,148.83339,5.6503944,9.9259329,50.561394,.79246479,23.832693,8.3883724,1.5242941,.48040524,75.24971,407.83157,16.071377,14.468074,14.577497,8.3302488,51.156803,13.383181,1440
2016,over 65,582.84436,153.02634,6.6052046,13.137504,51.738541,.85392272,24.902643,7.605773,2.4608636,.34365296,72.032928,404.155,15.598673,14.553885,11.636817,7.0013795,57.479038,14.023468,1439.9999
2017,over 65,576.94244,148.61497,6.0574341,11.588247,48.368225,1.0960224,23.080244,8.2685595,1.6433321,.29178983,73.179138,422.68481,16.645311,12.505648,12.672511,7.2219634,54.778492,14.360826,1439.9998
